dataset,max_depth,n_estimators,accuracy,roc_auc,avg_nodes_per_tree,total_nodes,tn,fp,fn,tp,n_test_samples
ws16,4,25,0.8165770739503123,0.8878144602840206,20.92,523,4070,2269,256,7171,13766
ws16,4,50,0.8198459973848613,0.8859035220511883,20.16,1008,4153,2186,294,7133,13766
ws16,8,1,0.8311782652912973,0.904075218916293,147.0,147,4662,1677,647,6780,13766
ws16,8,5,0.8481766671509516,0.9187487772079007,170.2,851,4533,1806,284,7143,13766
ws16,8,10,0.8481766671509516,0.9234633304044733,161.4,1614,4504,1835,255,7172,13766
ws16,8,25,0.8448351009734127,0.9233899336727616,166.12,4153,4478,1861,275,7152,13766
ws16,8,50,0.8446171727444428,0.9248999989443445,161.68,8084,4472,1867,272,7155,13766
ws16,16,1,0.861760860090077,0.9198066948227193,2667.0,2667,4898,1441,462,6965,13766
ws16,16,5,0.8690251343890746,0.9434112154326724,2243.8,11219,4905,1434,369,7058,13766
ws16,16,10,0.8721487723376434,0.9461769266291606,2304.4,23044,4928,1411,349,7078,13766
ws16,16,25,0.873674269940433,0.9471574436679819,2344.04,58601,4954,1385,354,7073,13766
ws16,16,50,0.873746912683423,0.9473976424642672,2311.48,115574,4940,1399,339,7088,13766
ws16,32,1,0.8547145140200494,0.8612979235468802,13075.0,13075,5219,1120,880,6547,13766
ws16,32,5,0.8815196861833503,0.9424706093933839,12083.0,60415,5315,1024,607,6820,13766
ws16,32,10,0.8867499636786285,0.9511177660596478,12513.2,125132,5378,961,598,6829,13766
ws16,32,25,0.8898736016271974,0.9572583887600259,12757.64,318941,5310,1029,487,6940,13766
ws16,32,50,0.8930698823187564,0.9593150159475136,12721.08,636054,5340,999,473,6954,13766
ws32,2,1,0.7657657657657657,0.7492602938665602,5.0,5,1601,1568,44,3669,6882
ws32,2,5,0.7900319674513223,0.8440654002631369,5.8,29,1773,1396,49,3664,6882
ws32,2,10,0.7884335948852078,0.8812965320094842,5.8,58,1760,1409,47,3666,6882
ws32,2,25,0.7958442313281023,0.8844249057302271,6.12,153,1860,1309,96,3617,6882
ws32,2,50,0.7956989247311828,0.8784637007938727,5.96,298,1838,1331,75,3638,6882
ws32,4,1,0.8138622493461203,0.8455814419533698,17.0,17,2050,1119,162,3551,6882
ws32,4,5,0.8253414705027609,0.87485209064346,17.0,85,2128,1041,161,3552,6882
ws32,4,10,0.8256320836965998,0.8859776618308746,18.2,182,2126,1043,157,3556,6882
ws32,4,25,0.8230165649520488,0.8907235942863878,19.32,483,2093,1076,142,3571,6882
ws32,4,50,0.8257773902935194,0.8890548308472777,18.8,940,2100,1069,130,3583,6882
ws32,8,1,0.8340598663179308,0.9045400258037715,131.0,131,2359,810,332,3381,6882
ws32,8,5,0.8522231909328684,0.9203571802210974,144.6,723,2272,897,120,3593,6882
ws32,8,10,0.8514966579482709,0.9236451171491397,156.4,1564,2258,911,111,3602,6882
ws32,8,25,0.8503342051729148,0.9253637254996112,152.6,3815,2244,925,105,3608,6882
ws32,8,50,0.8510607381575124,0.9270710730644812,149.72,7486,2251,918,107,3606,6882
ws32,16,1,0.8609415867480383,0.923732143899752,1325.0,1325,2479,690,267,3446,6882
ws32,16,5,0.8741644870677129,0.9465538469095773,1678.2,8391,2474,695,171,3542,6882
ws32,16,10,0.8782330717814589,0.9510048317693872,1788.0,17880,2498,671,167,3546,6882
ws32,16,25,0.8796861377506539,0.9532866918675966,1863.4,46585,2501,668,160,3553,6882
ws32,16,50,0.8796861377506539,0.9539984160111543,1871.6,93580,2495,674,154,3559,6882
ws32,32,1,0.8613775065387969,0.8678356438624003,6733.0,6733,2671,498,456,3257,6882
ws32,32,5,0.8821563498982854,0.9450524229938612,7030.6,35153,2693,476,335,3378,6882
ws32,32,10,0.8876780005812264,0.9565405914776504,7020.2,70202,2737,432,341,3372,6882
ws32,32,25,0.8934902644580064,0.9621077539050067,7070.12,176753,2708,461,272,3441,6882
ws32,32,50,0.8949433304272014,0.9641355451839235,7039.28,351964,2705,464,259,3454,6882
