feature,mean_abs_shap
modbus_req_count,0.16737578104193906
pkt_size_mean,0.10133758882655768
modbus_resp_count,0.09975947019210392
iat_mean,0.04130532001747176
iat_min,0.038100967649393636
pkt_size_max,0.032936227190736904
pkt_size_min,0.0267553459035282
iat_max,0.024404512154125688
