feature,importance
modbus_req_count,0.31462224255749893
pkt_size_mean,0.2165013250834435
modbus_resp_count,0.19810756884017097
iat_max,0.07539246284528804
pkt_size_max,0.07043914122029714
iat_mean,0.0631457904323043
iat_min,0.03290696345449399
pkt_size_min,0.028884505566503106
