iter,rf_ns
528,273.14
529,66.62
530,239.83
531,313.11
532,63.29
533,46.63
534,416.37
535,359.74
536,453.01
537,136.57
538,43.30
539,313.11
540,43.30
541,76.61
542,76.61
543,499.64
544,46.63
545,279.80
546,689.50
547,163.22
548,682.84
549,46.63
550,429.69
551,379.73
552,273.14
553,582.91
554,253.15
555,406.37
556,216.51
557,126.58
558,206.52
559,233.16
560,319.77
561,289.79
562,329.76
563,206.52
564,829.40
565,46.63
566,536.28
567,379.73
568,766.11
569,46.63
570,529.62
571,66.62
572,276.47
573,173.21
574,59.96
575,96.60
576,46.63
577,562.93
578,456.34
579,333.09
580,316.44
581,46.63
582,289.79
583,316.44
584,253.15
585,256.48
586,469.66
587,856.05
588,313.11
589,236.50
590,246.49
591,259.81
592,552.93
593,113.25
594,243.16
595,46.63
596,556.26
597,266.47
598,323.10
599,216.51
600,323.10
601,549.60
602,289.79
603,46.63
604,529.62
605,669.52
606,49.96
607,186.53
608,246.49
609,396.38
610,286.46
611,433.02
612,46.63
613,289.79
614,46.63
615,469.66
616,546.27
617,203.19
618,59.96
619,539.61
620,446.34
621,83.27
622,256.48
623,736.13
624,326.43
625,46.63
626,319.77
627,143.23
628,529.62
629,396.38
630,113.25
631,76.61
632,63.29
633,459.67
634,76.61
635,516.29
636,233.16
637,46.63
638,43.30
639,246.49
640,216.51
641,46.63
642,243.16
643,99.93
644,73.28
645,163.22
646,226.50
647,659.52
648,46.63
649,409.70
650,636.21
651,309.78
652,46.63
653,299.78
654,46.63
655,229.83
656,532.95
657,116.58
658,46.63
659,329.76
660,436.35
661,296.45
662,279.80
663,46.63
664,79.94
665,46.63
666,43.30
667,329.76
668,113.25
669,126.58
670,363.07
671,46.63
672,169.88
673,46.63
674,423.03
675,309.78
676,343.09
677,283.13
678,46.63
679,166.55
680,219.84
681,46.63
682,63.29
683,263.14
684,379.73
685,83.27
686,139.90
687,479.65
688,43.30
689,76.61
690,466.33
691,509.63
692,46.63
693,273.14
694,289.79
695,79.94
696,153.22
697,189.86
698,243.16
699,123.24
700,216.51
701,59.96
702,236.50
703,276.47
704,263.14
705,209.85
706,276.47
707,113.25
708,206.52
709,383.06
710,416.37
711,43.30
712,259.81
713,376.39
714,173.21
715,333.09
716,759.45
717,46.63
718,449.68
719,46.63
720,383.06
721,443.01
722,433.02
723,129.91
724,43.30
725,233.16
726,293.12
727,143.23
728,176.54
729,263.14
730,732.80
731,46.63
732,46.63
733,46.63
734,366.40
735,226.50
736,526.29
737,239.83
738,143.23
739,83.27
740,46.63
741,253.15
742,46.63
743,46.63
744,179.87
745,413.04
746,289.79
747,46.63
748,353.08
749,273.14
750,329.76
751,223.17
752,359.74
753,123.24
754,76.61
755,46.63
756,562.93
757,309.78
758,126.58
759,599.57
760,619.55
761,436.35
762,456.34
763,46.63
764,86.60
765,306.45
766,73.28
767,389.72
768,239.83
769,149.89
770,223.17
771,379.73
772,106.59
773,69.95
774,722.81
775,63.29
776,63.29
777,356.41
778,379.73
779,49.96
780,463.00
781,293.12
782,649.53
783,433.02
784,249.82
785,356.41
786,216.51
787,46.63
788,259.81
789,189.86
790,336.42
791,66.62
792,443.01
793,346.42
794,463.00
795,489.65
796,63.29
797,196.52
798,386.39
799,746.13
800,43.30
801,56.63
802,79.94
803,539.61
804,269.81
805,323.10
806,539.61
807,329.76
808,326.43
809,49.96
810,46.63
811,519.62
812,166.55
813,66.62
814,263.14
815,143.23
816,179.87
817,216.51
818,116.58
819,213.18
820,46.63
821,646.20
822,129.91
823,502.97
824,166.55
825,336.42
826,596.24
827,189.86
828,349.75
829,149.89
830,346.42
831,193.19
832,46.63
833,519.62
834,66.62
835,126.58
836,246.49
837,236.50
838,69.95
839,253.15
840,356.41
841,482.98
842,306.45
843,49.96
844,29.98
845,236.50
846,169.88
847,59.96
848,263.14
849,319.77
850,143.23
851,599.57
852,233.16
853,66.62
854,536.28
855,49.96
856,459.67
857,532.95
858,213.18
859,163.22
860,346.42
861,186.53
862,339.75
863,136.57
864,166.55
865,46.63
866,539.61
867,49.96
868,189.86
869,66.62
870,46.63
871,249.82
872,146.56
873,49.96
874,43.30
875,49.96
876,596.24
877,149.89
878,46.63
879,146.56
880,559.60
881,113.25
882,46.63
883,283.13
884,506.30
885,46.63
886,189.86
887,213.18
888,516.29
889,46.63
890,406.37
891,466.33
892,626.21
893,339.75
894,156.55
895,306.45
896,542.94
897,46.63
898,46.63
899,46.63
900,126.58
901,46.63
902,46.63
903,219.84
904,56.63
905,439.68
906,176.54
907,66.62
908,276.47
909,419.70
910,293.12
911,459.67
912,682.84
913,303.11
914,506.30
915,46.63
916,389.72
917,46.63
918,169.88
919,183.20
920,46.63
921,419.70
922,542.94
923,676.18
924,166.55
925,66.62
926,116.58
927,699.49
928,159.88
929,43.30
930,103.26
931,749.46
932,346.42
933,139.90
934,276.47
935,226.50
936,652.86
937,559.60
938,243.16
939,516.29
940,46.63
941,46.63
942,116.58
943,46.63
944,386.39
945,346.42
946,572.92
947,303.11
948,689.50
949,502.97
950,229.83
951,133.24
952,69.95
953,359.74
954,46.63
955,323.10
956,419.70
957,76.61
958,43.30
959,73.28
960,349.75
961,46.63
962,106.59
963,486.32
964,426.36
965,46.63
966,233.16
967,389.72
968,276.47
969,339.75
970,559.60
971,732.80
972,209.85
973,749.46
974,632.88
975,59.96
976,599.57
977,576.25
978,46.63
979,529.62
980,289.79
981,456.34
982,66.62
983,46.63
984,356.41
985,506.30
986,243.16
987,612.89
988,113.25
989,126.58
990,203.19
991,46.63
992,46.63
993,489.65
994,423.03
995,279.80
996,109.92
997,349.75
998,309.78
999,46.63
1000,223.17
1001,579.58
1002,313.11
1003,246.49
1004,426.36
1005,176.54
1006,522.96
1007,223.17
1008,263.14
1009,482.98
1010,399.71
1011,393.05
1012,472.99
1013,229.83
1014,539.61
1015,193.19
1016,76.61
1017,46.63
1018,433.02
