iter,rf_ns
0,89278.85
1,1895.30
2,67781.05
3,47162.60
4,18023.65
5,72477.65
6,26357.63
7,1052.57
8,59437.07
9,2624.77
10,29398.77
11,52468.77
12,10652.31
13,22960.08
14,28922.44
15,1602.18
16,41406.76
17,25578.19
18,40227.61
19,1825.35
20,25091.88
21,68543.83
22,59177.26
23,47319.16
24,42805.75
25,66845.05
26,88003.11
27,15505.47
28,63387.55
29,50796.65
30,4073.72
31,79189.47
32,61965.25
33,71718.20
34,2448.23
35,20105.48
36,1085.88
37,66125.57
38,759.45
39,426.36
40,27383.56
41,47365.79
42,40730.58
43,47835.45
44,10422.47
45,1658.80
46,59537.00
47,1422.31
48,26567.48
49,27746.63
50,13616.83
51,35447.73
52,42179.54
53,30044.97
54,862.71
55,1392.33
56,34178.65
57,35541.00
58,37436.30
59,20728.36
60,592.91
61,51492.81
62,1132.52
63,23309.83
64,5159.61
65,27240.33
66,47016.04
67,34911.45
68,56952.20
69,23399.77
70,50630.10
71,30334.76
72,51446.18
73,57784.93
74,17687.23
75,48888.02
76,40933.77
77,2821.30
78,519.62
79,1215.79
80,3367.57
81,492.98
82,906.01
83,28079.72
84,20595.13
85,536.28
86,669.52
87,389.72
88,29665.24
89,27370.23
90,60832.73
91,3534.11
92,872.70
93,40134.35
94,35294.51
95,56076.17
96,70788.87
97,949.31
98,22167.32
99,826.07
100,45110.75
101,28456.11
102,50606.78
103,1812.02
104,47052.68
105,52701.94
106,48991.28
107,46726.25
108,30148.23
109,37629.49
110,62831.29
111,41726.53
112,58401.15
113,509.63
114,41983.01
115,1199.13
116,736.13
117,39991.12
118,10455.78
119,1185.81
120,40790.54
121,486.32
122,1222.45
123,46836.17
124,56742.35
125,522.96
126,839.39
127,63827.23
128,24755.45
129,546.27
130,13909.95
131,32140.12
132,56169.43
133,682.84
134,4067.06
135,37529.56
136,195538.77
137,726.14
138,35494.36
139,46316.55
140,16751.23
141,672.85
142,1598.85
143,8703.71
144,45620.38
145,39907.84
146,21907.51
147,2211.74
148,20212.07
149,15652.03
150,3214.35
151,36017.32
152,36130.57
153,26244.38
154,616.22
155,393.05
156,23552.99
157,38232.39
158,26857.27
159,4223.62
160,31823.68
161,41090.32
162,57595.07
163,40014.43
164,7321.38
165,38865.26
166,17267.53
167,1322.38
168,609.56
169,3017.82
170,419.70
171,204805.41
172,61748.74
173,22660.30
174,383.06
175,33395.88
176,36193.86
177,24908.68
178,1845.33
179,51429.52
180,56599.12
181,14889.25
182,46816.19
183,54793.76
184,26031.20
185,40240.94
186,38958.53
187,1881.97
188,58770.89
189,49614.17
190,31170.82
191,37862.65
192,31513.91
193,95154.61
194,3207.68
195,426.36
196,7204.80
197,24732.14
198,70382.50
199,55952.92
200,50030.53
201,69643.03
202,662.85
203,53654.58
204,10575.70
205,1375.67
206,25175.15
207,1265.75
208,3340.92
209,44264.70
210,58987.40
211,43468.60
212,29019.04
213,45087.44
214,28356.19
215,46276.58
216,37742.74
217,39168.38
218,676.18
219,57458.50
220,52422.14
221,24125.91
222,47722.20
223,39085.10
224,662.85
225,799.42
226,41796.48
227,846.06
228,49897.30
229,38638.76
230,17004.39
231,45623.72
232,72277.80
233,47012.71
234,409.70
235,35930.72
236,26004.55
237,589.57
238,14895.91
239,33718.98
240,55939.60
241,46076.72
242,786.10
243,8796.98
244,46672.96
245,42998.94
246,51312.94
247,35327.82
248,41769.83
249,55982.90
250,1552.21
251,22710.26
252,403.04
253,38092.49
254,28562.70
255,42479.32
256,43725.09
257,2771.33
258,55623.16
259,22470.44
260,1192.47
261,42539.28
262,65502.69
263,23359.80
264,54517.29
265,639.54
266,54770.44
267,21507.80
268,39941.15
269,4246.93
270,57891.52
271,4643.31
272,33992.12
273,33012.82
274,11355.13
275,619.55
276,749.46
277,336.42
278,38032.53
279,43671.79
280,1605.51
281,27483.48
282,2748.02
283,28579.36
284,589.57
