feature,shap_value,feature_value
iat_min_us,0.1553193266709927,1874.9237060546875
mean_iat_us,0.1448903050717148,258004.3500469577
iat_max_us,0.09746321988377205,501830.8162689209
mean,0.03545433596442894,10000.0
min,0.028821529744828198,10000.0
max,-0.025799959292529043,10000.0
range,0.013259881098364045,0.0
slope,0.008488431008279998,-2.0900541351858557e-13
