feature,mean_abs_shap
mean_iat_us,0.13906040340679818
iat_min_us,0.10138092834339325
iat_max_us,0.09472031546601921
min,0.039228357689930736
mean,0.03449353385470186
max,0.027854428851799805
range,0.022891002574386424
slope,0.011045192883575191
