iter,rf_ns
0,5336.15
1,1498.92
2,829.40
3,1052.57
4,752.79
5,662.85
6,519.62
7,995.95
8,549.60
9,699.49
10,676.18
11,566.26
12,469.66
13,606.23
14,419.70
15,1115.86
16,466.33
17,419.70
18,429.69
19,522.96
20,416.37
21,1035.92
22,519.62
23,779.44
24,429.69
25,519.62
26,512.96
27,396.38
28,1249.10
29,429.69
30,449.68
31,439.68
32,526.29
33,579.58
34,406.37
35,692.83
36,506.30
37,439.68
38,496.31
39,393.05
40,502.97
41,389.72
42,469.66
43,566.26
44,416.37
45,579.58
46,499.64
47,406.37
48,403.04
49,386.39
50,496.31
51,469.66
52,383.06
53,449.68
54,453.01
55,453.01
56,439.68
57,453.01
58,722.81
59,409.70
60,499.64
61,439.68
62,396.38
63,696.16
64,393.05
65,459.67
66,426.36
67,433.02
68,512.96
69,393.05
70,409.70
71,463.00
72,403.04
73,446.34
74,433.02
75,383.06
76,406.37
77,403.04
78,479.65
79,376.39
80,463.00
81,436.35
82,409.70
83,506.30
84,496.31
85,426.36
86,419.70
87,393.05
88,389.72
89,482.98
90,499.64
91,379.73
92,383.06
93,413.04
94,419.70
95,453.01
96,396.38
97,439.68
98,376.39
99,379.73
100,383.06
101,393.05
102,386.39
103,439.68
104,429.69
105,459.67
106,423.03
107,426.36
108,396.38
109,456.34
110,469.66
111,379.73
112,413.04
113,443.01
114,426.36
115,419.70
116,443.01
117,393.05
118,472.99
119,466.33
120,439.68
121,436.35
122,386.39
123,429.69
124,396.38
125,393.05
126,426.36
127,403.04
128,379.73
129,419.70
130,389.72
131,403.04
132,376.39
133,472.99
134,399.71
135,536.28
136,426.36
137,393.05
138,509.63
139,436.35
140,453.01
141,396.38
142,409.70
143,396.38
144,383.06
145,466.33
146,383.06
147,369.73
148,393.05
149,369.73
150,486.32
151,373.06
152,393.05
153,479.65
154,419.70
155,463.00
156,409.70
157,859.38
158,1079.22
159,862.71
160,589.57
161,719.48
162,662.85
163,586.24
164,439.68
165,433.02
166,736.13
167,396.38
168,612.89
169,433.02
170,313.11
171,253.15
172,233.16
173,239.83
174,246.49
175,239.83
176,239.83
177,239.83
178,233.16
179,239.83
180,249.82
181,313.11
182,243.16
183,339.75
184,289.79
185,253.15
186,249.82
187,236.50
188,256.48
189,236.50
190,229.83
191,259.81
192,233.16
193,233.16
194,259.81
195,233.16
196,296.45
197,256.48
198,256.48
199,233.16
200,256.48
201,236.50
202,236.50
203,256.48
204,233.16
205,276.47
206,256.48
207,233.16
208,229.83
209,443.01
210,539.61
211,512.96
212,389.72
213,526.29
214,386.39
215,552.93
216,419.70
217,393.05
218,479.65
219,346.42
220,472.99
221,403.04
222,343.09
223,399.71
224,346.42
225,476.32
226,459.67
227,416.37
228,413.04
229,373.06
230,456.34
231,346.42
232,363.07
233,359.74
234,359.74
235,399.71
236,409.70
237,326.43
238,393.05
239,339.75
240,466.33
241,423.03
242,386.39
243,532.95
244,349.75
245,426.36
246,349.75
247,346.42
248,466.33
249,409.70
250,476.32
251,413.04
252,386.39
253,399.71
254,386.39
255,446.34
256,339.75
257,389.72
258,489.65
259,353.08
260,426.36
261,329.76
262,359.74
263,436.35
264,456.34
265,453.01
266,323.10
267,396.38
268,426.36
269,349.75
270,506.30
271,359.74
272,396.38
273,386.39
274,436.35
275,426.36
276,386.39
277,122857.93
278,839.39
279,496.31
280,536.28
281,366.40
282,396.38
283,439.68
284,349.75
285,549.60
286,346.42
287,546.27
288,539.61
289,582.91
290,406.37
291,566.26
292,453.01
293,629.55
294,443.01
295,436.35
296,339.75
297,566.26
298,419.70
299,356.41
300,443.01
301,366.40
302,326.43
303,363.07
304,423.03
305,679.51
306,399.71
307,566.26
308,383.06
309,346.42
310,399.71
311,343.09
312,373.06
313,436.35
314,339.75
315,416.37
316,339.75
317,363.07
318,376.39
319,453.01
320,439.68
321,366.40
322,329.76
323,406.37
324,346.42
325,423.03
326,339.75
327,369.73
328,369.73
329,406.37
330,396.38
331,346.42
332,356.41
333,466.33
334,379.73
335,423.03
336,459.67
337,389.72
338,409.70
339,426.36
340,363.07
341,323.10
342,403.04
343,429.69
344,463.00
345,842.72
346,792.76
347,742.80
348,369.73
349,456.34
350,572.92
351,413.04
352,536.28
353,369.73
354,419.70
355,363.07
356,356.41
357,459.67
358,376.39
359,443.01
360,526.29
361,349.75
362,612.89
363,383.06
364,482.98
365,336.42
366,443.01
367,429.69
368,373.06
369,516.29
370,329.76
371,333.09
372,489.65
373,369.73
374,512.96
375,339.75
376,436.35
377,413.04
378,399.71
379,426.36
380,566.26
381,2787.99
382,1515.57
383,969.30
384,656.19
385,529.62
386,386.39
387,419.70
388,346.42
389,862.71
390,349.75
391,343.09
392,403.04
393,509.63
394,443.01
395,556.26
396,343.09
397,479.65
398,393.05
399,479.65
400,419.70
401,336.42
402,393.05
403,393.05
404,413.04
405,486.32
406,582.91
407,403.04
408,369.73
409,476.32
410,433.02
411,363.07
412,393.05
413,403.04
414,443.01
415,446.34
416,356.41
417,379.73
418,363.07
419,376.39
420,472.99
421,436.35
422,453.01
423,353.08
424,409.70
425,429.69
426,439.68
427,373.06
428,403.04
429,439.68
430,403.04
431,326.43
432,449.68
433,376.39
434,449.68
435,466.33
436,346.42
437,536.28
438,376.39
439,486.32
440,429.69
441,506.30
442,399.71
443,393.05
444,453.01
445,403.04
446,363.07
447,379.73
448,349.75
449,489.65
450,393.05
451,326.43
452,359.74
453,369.73
454,386.39
455,453.01
456,469.66
457,353.08
458,396.38
459,426.36
460,366.40
461,323.10
462,463.00
463,349.75
464,463.00
465,329.76
466,333.09
467,599.57
468,349.75
469,413.04
470,376.39
471,363.07
472,359.74
473,396.38
474,566.26
475,453.01
476,366.40
477,436.35
478,419.70
479,393.05
480,429.69
481,346.42
482,383.06
483,339.75
484,449.68
485,343.09
486,346.42
487,393.05
488,356.41
489,463.00
490,333.09
491,343.09
492,542.94
493,406.37
494,409.70
495,323.10
496,373.06
497,472.99
498,343.09
499,449.68
500,433.02
501,356.41
502,399.71
503,343.09
504,419.70
505,329.76
506,329.76
507,363.07
508,396.38
509,383.06
510,383.06
511,339.75
512,479.65
513,336.42
514,453.01
515,333.09
516,356.41
517,453.01
518,426.36
519,436.35
520,329.76
521,353.08
522,359.74
523,353.08
524,429.69
525,416.37
526,443.01
527,443.01
528,379.73
529,423.03
530,366.40
531,363.07
532,386.39
533,393.05
534,399.71
535,319.77
536,353.08
537,433.02
538,403.04
539,443.01
540,629.55
541,456.34
542,419.70
543,349.75
544,386.39
545,436.35
546,406.37
547,406.37
548,369.73
549,416.37
550,323.10
551,346.42
552,449.68
553,346.42
554,393.05
555,366.40
556,343.09
557,356.41
558,366.40
559,396.38
560,542.94
561,323.10
562,439.68
563,343.09
564,423.03
565,486.32
566,349.75
567,406.37
568,396.38
569,399.71
570,456.34
571,356.41
572,389.72
573,436.35
574,383.06
575,386.39
576,333.09
577,469.66
578,346.42
579,466.33
580,349.75
581,406.37
582,369.73
583,353.08
584,492.98
585,416.37
586,549.60
587,296.45
588,419.70
589,349.75
590,482.98
591,632.88
592,579.58
593,333.09
594,499.64
595,326.43
596,279.80
597,283.13
598,236.50
599,243.16
600,236.50
601,233.16
602,243.16
603,236.50
604,236.50
605,236.50
606,236.50
607,239.83
608,239.83
609,239.83
610,236.50
611,239.83
612,243.16
613,236.50
614,246.49
615,243.16
616,306.45
617,246.49
618,243.16
619,236.50
620,236.50
621,236.50
622,236.50
623,236.50
624,243.16
625,236.50
626,236.50
627,243.16
628,239.83
629,423.03
630,386.39
631,409.70
632,492.98
633,389.72
634,399.71
635,399.71
636,389.72
637,396.38
638,399.71
639,369.73
640,429.69
641,369.73
642,476.32
643,466.33
644,323.10
645,479.65
646,472.99
647,369.73
648,446.34
649,363.07
650,376.39
651,386.39
652,369.73
653,456.34
654,343.09
655,359.74
656,336.42
657,376.39
658,339.75
659,383.06
660,403.04
661,329.76
662,403.04
663,329.76
664,333.09
665,349.75
666,383.06
667,409.70
668,399.71
669,419.70
670,349.75
671,389.72
672,366.40
673,359.74
674,359.74
675,379.73
676,346.42
677,489.65
678,349.75
679,373.06
680,369.73
681,379.73
682,396.38
683,316.44
684,359.74
685,646.20
686,446.34
687,279.80
688,396.38
689,439.68
690,576.25
691,356.41
692,346.42
693,319.77
694,349.75
695,423.03
696,309.78
697,306.45
698,266.47
699,266.47
700,269.81
701,253.15
702,243.16
703,246.49
704,249.82
705,236.50
706,253.15
707,239.83
708,243.16
709,233.16
710,243.16
711,256.48
712,243.16
713,246.49
714,243.16
715,239.83
716,239.83
717,236.50
718,236.50
719,229.83
720,239.83
721,239.83
722,239.83
723,249.82
724,239.83
725,239.83
726,542.94
727,279.80
728,562.93
729,253.15
730,236.50
731,449.68
732,399.71
733,516.29
734,393.05
735,329.76
736,379.73
737,389.72
738,406.37
739,353.08
740,353.08
741,363.07
742,349.75
743,336.42
744,379.73
745,416.37
746,346.42
747,349.75
748,379.73
749,339.75
750,379.73
751,433.02
752,373.06
753,499.64
754,409.70
755,329.76
756,379.73
757,349.75
758,349.75
759,679.51
760,389.72
761,323.10
762,482.98
763,353.08
764,326.43
765,443.01
766,326.43
767,346.42
768,423.03
769,409.70
770,376.39
771,359.74
772,353.08
773,363.07
774,349.75
775,449.68
776,339.75
777,373.06
778,416.37
779,433.02
780,326.43
781,369.73
782,389.72
783,379.73
784,349.75
785,379.73
786,326.43
787,383.06
788,406.37
789,376.39
790,329.76
791,319.77
792,389.72
793,403.04
794,326.43
795,363.07
796,353.08
797,349.75
798,383.06
799,343.09
800,406.37
801,476.32
802,376.39
803,429.69
804,359.74
805,373.06
806,373.06
807,393.05
808,379.73
809,396.38
810,353.08
811,339.75
812,339.75
813,369.73
814,346.42
815,346.42
816,389.72
817,353.08
818,336.42
819,336.42
820,373.06
821,356.41
822,386.39
823,369.73
824,336.42
825,336.42
826,343.09
827,463.00
828,353.08
829,339.75
830,306.45
831,429.69
832,339.75
833,366.40
834,439.68
835,339.75
836,376.39
837,326.43
838,363.07
839,329.76
840,433.02
841,399.71
842,329.76
843,353.08
844,529.62
845,416.37
846,346.42
847,433.02
848,423.03
849,409.70
850,363.07
851,323.10
852,349.75
853,379.73
854,349.75
855,373.06
856,356.41
857,333.09
858,396.38
859,323.10
860,319.77
861,356.41
862,369.73
863,366.40
864,319.77
865,336.42
866,386.39
867,336.42
868,379.73
869,599.57
870,386.39
871,386.39
872,329.76
873,353.08
874,313.11
875,323.10
876,376.39
877,386.39
878,516.29
879,383.06
880,343.09
881,376.39
882,336.42
883,363.07
884,323.10
885,379.73
886,386.39
887,376.39
888,403.04
889,369.73
890,316.44
891,536.28
892,333.09
893,359.74
894,326.43
895,329.76
896,359.74
897,336.42
898,409.70
899,326.43
900,306.45
901,326.43
902,396.38
903,379.73
904,326.43
905,386.39
906,376.39
907,359.74
908,416.37
909,353.08
910,376.39
911,383.06
912,333.09
913,359.74
914,316.44
915,306.45
916,353.08
917,329.76
918,376.39
919,326.43
920,336.42
921,406.37
922,346.42
923,379.73
924,306.45
925,333.09
926,449.68
927,326.43
928,423.03
929,403.04
930,343.09
931,353.08
932,333.09
933,349.75
934,323.10
935,366.40
936,393.05
937,369.73
938,359.74
939,316.44
940,366.40
941,313.11
942,333.09
943,406.37
944,366.40
945,366.40
946,316.44
947,592.91
948,496.31
949,376.39
950,396.38
951,366.40
952,373.06
953,339.75
954,396.38
955,366.40
956,346.42
957,326.43
958,339.75
959,336.42
960,336.42
961,309.78
962,326.43
963,369.73
964,456.34
965,353.08
966,379.73
967,386.39
968,406.37
969,386.39
970,313.11
971,333.09
972,329.76
973,413.04
974,373.06
975,319.77
976,449.68
977,393.05
978,349.75
979,313.11
980,359.74
981,349.75
982,326.43
983,406.37
984,326.43
985,366.40
986,349.75
987,336.42
988,403.04
989,406.37
990,313.11
991,323.10
992,329.76
993,379.73
994,309.78
995,356.41
996,359.74
997,333.09
998,369.73
999,346.42
1000,323.10
1001,423.03
1002,369.73
1003,376.39
1004,343.09
1005,339.75
1006,379.73
1007,339.75
1008,356.41
1009,323.10
1010,376.39
1011,383.06
1012,329.76
1013,336.42
1014,329.76
1015,339.75
1016,326.43
1017,333.09
1018,403.04
1019,373.06
1020,366.40
1021,323.10
1022,363.07
1023,386.39
1024,323.10
1025,363.07
1026,389.72
1027,336.42
1028,339.75
1029,329.76
1030,349.75
1031,356.41
1032,373.06
1033,393.05
1034,306.45
1035,336.42
1036,316.44
1037,339.75
1038,383.06
1039,316.44
1040,349.75
1041,326.43
1042,333.09
1043,389.72
1044,309.78
1045,363.07
1046,379.73
1047,403.04
1048,376.39
1049,326.43
1050,349.75
1051,383.06
1052,329.76
1053,343.09
1054,356.41
1055,353.08
1056,359.74
1057,386.39
1058,369.73
1059,333.09
1060,396.38
1061,363.07
1062,449.68
1063,363.07
1064,399.71
1065,353.08
1066,349.75
1067,333.09
1068,363.07
1069,339.75
1070,346.42
1071,356.41
1072,379.73
1073,393.05
1074,329.76
1075,346.42
1076,516.29
1077,406.37
1078,476.32
1079,449.68
1080,366.40
1081,459.67
1082,522.96
1083,343.09
1084,346.42
1085,369.73
1086,383.06
1087,333.09
1088,339.75
1089,416.37
1090,329.76
1091,389.72
1092,326.43
1093,349.75
1094,323.10
1095,373.06
1096,329.76
1097,343.09
1098,319.77
1099,389.72
1100,339.75
1101,383.06
1102,333.09
1103,356.41
1104,326.43
1105,373.06
1106,413.04
1107,383.06
1108,333.09
1109,373.06
1110,356.41
1111,366.40
1112,386.39
1113,319.77
1114,426.36
1115,569.59
1116,366.40
1117,426.36
1118,373.06
1119,359.74
1120,443.01
1121,346.42
1122,319.77
1123,383.06
1124,393.05
1125,389.72
1126,463.00
1127,329.76
1128,336.42
1129,323.10
1130,336.42
1131,403.04
1132,336.42
1133,376.39
1134,319.77
1135,436.35
1136,383.06
1137,319.77
1138,359.74
1139,363.07
1140,403.04
1141,383.06
1142,309.78
1143,356.41
1144,336.42
1145,393.05
1146,423.03
1147,309.78
1148,326.43
1149,399.71
1150,353.08
1151,339.75
1152,336.42
1153,426.36
1154,456.34
1155,406.37
1156,376.39
1157,393.05
1158,429.69
1159,379.73
1160,363.07
1161,416.37
1162,403.04
1163,386.39
1164,343.09
1165,336.42
1166,376.39
1167,399.71
1168,329.76
1169,343.09
1170,336.42
1171,369.73
1172,359.74
1173,329.76
1174,479.65
1175,376.39
1176,396.38
1177,363.07
1178,363.07
1179,349.75
1180,443.01
1181,359.74
1182,359.74
1183,326.43
1184,343.09
1185,376.39
1186,373.06
1187,376.39
1188,353.08
1189,383.06
1190,396.38
1191,542.94
1192,343.09
1193,339.75
1194,386.39
1195,329.76
1196,409.70
1197,366.40
1198,346.42
1199,393.05
1200,336.42
1201,376.39
1202,346.42
1203,343.09
1204,333.09
1205,379.73
1206,393.05
1207,373.06
1208,343.09
1209,339.75
1210,339.75
1211,363.07
1212,333.09
1213,339.75
1214,349.75
1215,329.76
1216,373.06
1217,333.09
1218,423.03
1219,353.08
1220,383.06
1221,363.07
1222,429.69
1223,329.76
1224,336.42
1225,329.76
1226,369.73
1227,323.10
1228,323.10
1229,409.70
1230,333.09
1231,343.09
1232,326.43
1233,376.39
1234,379.73
1235,339.75
1236,379.73
1237,416.37
1238,323.10
1239,376.39
1240,429.69
1241,359.74
1242,343.09
1243,326.43
1244,323.10
1245,433.02
1246,416.37
1247,339.75
1248,649.53
1249,379.73
1250,386.39
1251,399.71
1252,326.43
1253,316.44
