dataset,avg_accuracy,std_accuracy,n_configs,dataset_num
ws4,0.9586949593442731,0.05282418131425208,25,4
ws8,0.9671092564491655,0.04367429906116262,25,8
ws16,0.9651472779070072,0.051513203642054695,25,16
ws32,0.9734167970787689,0.037296569257760454,25,32
