dataset,window_size,n_estimators,max_depth,train_accuracy,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,avg_nodes_per_tree,total_nodes,avg_leaves_per_tree,total_leaves,model_file,feature_list_file
ws4,4,50,2,0.9230247132586078,0.9223172946354073,0.8390260159974146,0.9141495835121425,0.8749782774691277,0.9710720513135738,198797,15939,7802,83077,7.0,350,4.0,200,random_forest_ws4_trees50_depth2.pkl,feature_list_ws4_trees50_depth2.txt
ws4,4,50,4,0.980687113570486,0.980779739214371,0.9893726036545348,0.9455209674402227,0.966949867776965,0.9887933933859179,213813,923,4951,85928,29.68,1484,15.34,767,random_forest_ws4_trees50_depth4.pkl,feature_list_ws4_trees50_depth4.txt
ws4,4,50,8,0.9847286281427965,0.984529555159269,0.9907714393136685,0.9568877298385766,0.9735348446683459,0.9930411293055704,213926,810,3918,86961,297.6,14880,149.3,7465,random_forest_ws4_trees50_depth8.pkl,feature_list_ws4_trees50_depth8.txt
ws4,4,50,16,0.9895540450905134,0.9864175514945275,0.9898447913607302,0.9642161555474862,0.9768624062874501,0.9948921263622261,213837,899,3252,87627,6188.2,309410,3094.6,154730,random_forest_ws4_trees50_depth16.pkl,feature_list_ws4_trees50_depth16.txt
ws4,4,50,32,0.9987252821838202,0.9859660029776025,0.9895298613780783,0.962994751262668,0.9760819982043375,0.9917665523650933,213810,926,3363,87516,25467.52,1273376,12734.26,636713,random_forest_ws4_trees50_depth32.pkl,feature_list_ws4_trees50_depth32.txt
ws8,8,1,2,0.8860844653499207,0.8857595102297107,0.7999443992985757,0.8218067577661584,0.8107282184655397,0.8903520269851559,98015,9355,8111,37407,7.0,7,4.0,4,random_forest_ws8_trees1_depth2.pkl,feature_list_ws8_trees1_depth2.txt
ws8,8,1,4,0.9799376573283474,0.9795013343100832,0.9963462619449128,0.9345753328353619,0.9644727594259415,0.9740349584209187,107214,156,2978,42540,19.0,19,10.0,10,random_forest_ws8_trees1_depth4.pkl,feature_list_ws8_trees1_depth4.txt
ws8,8,1,8,0.9873604718308675,0.9871016691957512,0.9983520256351568,0.9582582714530515,0.9778943592502914,0.9842093567676627,107298,72,1900,43618,141.0,141,71.0,71,random_forest_ws8_trees1_depth8.pkl,feature_list_ws8_trees1_depth8.txt
ws8,8,1,16,0.9915007652675073,0.9901300298257548,0.9924800250665831,0.9742299749549629,0.9832703245047063,0.991782241163358,107034,336,1173,44345,1205.0,1205,603.0,603,random_forest_ws8_trees1_depth16.pkl,feature_list_ws8_trees1_depth16.txt
ws8,8,1,32,0.9947160100690142,0.9860551514834388,0.9773987676056338,0.9757238894503274,0.9765606103916094,0.9835482057473397,106343,1027,1105,44413,8211.0,8211,4106.0,4106,random_forest_ws8_trees1_depth32.pkl,feature_list_ws8_trees1_depth32.txt
ws8,8,5,2,0.8851173690495546,0.8848176442886296,0.79936497039389,0.8185772661364735,0.8088570498209052,0.9539867310029834,98018,9352,8258,37260,7.0,35,4.0,20,random_forest_ws8_trees5_depth2.pkl,feature_list_ws8_trees5_depth2.txt
ws8,8,5,4,0.9800553907910007,0.9796125268170164,0.9975825568568545,0.9337844369260513,0.9646297872340426,0.9827516631245852,107267,103,3014,42504,19.8,99,10.4,52,random_forest_ws8_trees5_depth4.pkl,feature_list_ws8_trees5_depth4.txt
ws8,8,5,8,0.988854565535491,0.9885471717858825,0.9989739380258568,0.9625203216310031,0.9804083916083917,0.9937499720447067,107325,45,1706,43812,148.2,741,74.6,373,random_forest_ws8_trees5_depth8.pkl,feature_list_ws8_trees5_depth8.txt
ws8,8,5,16,0.9927061316708621,0.9913596881377217,0.9955820681303402,0.9753064721648579,0.9853399771387986,0.9954843001170925,107173,197,1124,44394,1692.2,8461,846.6,4233,random_forest_ws8_trees5_depth16.pkl,feature_list_ws8_trees5_depth16.txt
