feature,importance
mean_iat_us,0.32055063774048137
iat_max_us,0.24210364678176202
iat_min_us,0.21645126930131486
mean,0.06360106168377909
min,0.053518863239942364
max,0.046212755326406105
slope,0.02933725984181711
range,0.02822450608449701
