iter,rf_ns
0,33925.50
1,413.04
2,27380.22
3,20085.49
4,6518.63
5,209085.66
6,11821.46
7,406.37
8,23533.00
9,396.38
10,13097.21
11,19179.48
12,4196.97
13,7844.33
14,10429.13
15,506.30
16,13027.26
17,8380.61
18,13523.57
19,279.80
20,8347.30
21,21114.75
22,22253.93
23,13723.42
24,18883.03
25,24149.22
26,16341.53
27,5722.53
28,18536.61
29,15255.65
30,1012.60
31,22323.88
32,18403.37
33,20012.21
34,329.76
35,4586.69
36,283.13
37,19762.39
38,179.87
39,213.18
40,10778.88
41,16071.73
42,16514.74
43,13060.57
44,3710.65
45,223.17
46,21554.43
47,449.68
48,8413.92
49,9683.01
50,4160.33
51,13586.85
52,18336.76
53,6751.79
54,196.52
55,236.50
56,9553.10
57,9589.74
58,10492.42
59,3397.55
60,163.22
61,12794.09
62,466.33
63,6415.37
64,1149.17
65,8154.11
66,15375.56
67,11808.14
68,16581.36
69,10485.76
70,16361.52
71,9359.91
72,19539.22
73,20185.42
74,5719.20
75,16198.30
76,41306.83
77,736.13
78,176.54
79,186.53
80,1105.87
81,129.91
82,216.51
83,9739.63
84,6688.50
85,133.24
86,239.83
87,163.22
88,10539.05
89,7324.71
90,23596.29
91,1192.47
92,206.52
93,17347.47
94,15159.05
95,19002.94
96,26297.67
97,433.02
98,7028.26
99,176.54
100,14379.61
101,11138.62
102,18190.20
103,226.50
104,16164.99
105,14979.18
106,8317.33
107,11458.39
108,9732.97
109,7737.74
110,23196.58
111,11328.48
112,18779.77
113,189.86
114,12817.41
115,133.24
116,206.52
117,11844.78
118,3247.65
119,159.88
120,14536.17
121,163.22
122,419.70
123,16954.42
124,18769.78
125,336.42
126,219.84
127,19009.60
128,8473.88
129,139.90
130,6901.68
131,11225.23
132,20142.12
133,196.52
134,1951.92
135,13883.31
136,10315.88
137,146.56
138,11704.88
139,13373.67
140,4330.21
141,326.43
142,233.16
143,1538.89
144,12337.76
145,9386.55
146,8403.93
147,363.07
148,5509.35
149,5472.71
150,1638.82
151,10672.29
152,11928.05
153,7747.74
154,213.18
155,179.87
156,7804.36
157,12790.76
158,7554.54
159,859.38
160,8980.18
161,12091.27
162,12680.84
163,13080.55
164,1928.61
165,11721.53
166,5652.58
167,173.21
168,199.86
169,826.07
170,169.88
171,11265.20
172,15958.47
173,4590.02
174,173.21
175,8910.23
176,10785.54
177,10399.16
178,476.32
179,13327.04
180,18753.12
181,3637.37
182,19775.72
183,19229.44
184,6921.67
185,14279.69
186,14852.61
187,169.88
188,18110.25
189,13440.29
190,11335.15
191,9210.01
192,9789.60
193,18336.76
194,366.40
195,163.22
196,1612.17
197,7534.56
198,24375.73
199,10269.25
200,15039.14
201,25574.86
202,376.39
203,17800.48
204,2754.68
205,159.88
206,7078.22
207,223.17
208,1355.69
209,12660.86
210,19246.10
211,13956.59
212,13313.72
213,12990.62
214,8010.88
215,16388.16
216,10535.72
217,12007.99
218,429.69
219,21527.78
220,19006.27
221,9200.02
222,12927.33
223,10312.55
224,176.54
225,146.56
226,12690.83
227,186.53
228,17757.17
229,14462.89
230,5392.77
231,15895.19
232,24329.10
233,13327.04
234,163.22
235,12101.26
236,7727.75
237,476.32
238,3797.26
239,11954.70
240,20601.79
241,13853.33
242,179.87
243,2844.61
244,12011.32
245,12354.41
246,15275.63
247,13450.29
248,12864.04
249,18443.35
250,436.35
251,5625.94
252,193.19
253,12497.64
254,7940.93
255,12414.37
256,16201.63
257,1435.63
258,17224.23
259,8104.15
260,176.54
261,12234.50
262,23726.20
263,9696.33
264,15129.07
265,439.68
266,21854.22
267,8547.16
268,14689.39
269,1825.35
270,19842.34
271,1455.62
272,8620.44
273,12224.50
274,3330.93
275,173.21
276,199.86
277,166.55
278,13433.63
279,13323.71
280,166.55
281,12024.65
282,1615.50
283,8420.58
284,196.52
285,13396.99
286,233.16
287,14476.21
288,469.66
289,4476.77
290,12024.65
291,17071.00
292,149.89
293,12640.87
294,9239.99
295,4936.43
296,186.53
297,12787.43
298,13027.26
299,6988.29
300,12101.26
301,169.88
302,206.52
303,529.62
304,21124.74
305,18966.30
306,8257.37
307,479.65
308,173.21
309,4646.64
310,7088.21
311,7904.29
312,209.85
313,166.55
314,9053.46
315,18046.97
316,12204.52
317,14169.77
318,11121.97
319,4306.89
320,2048.52
321,173.21
322,11062.01
323,9739.63
324,18206.85
325,9220.01
326,21208.02
327,159.88
328,15808.58
329,156.55
330,5312.83
331,20981.51
332,1109.20
333,1765.39
334,15825.24
335,22656.97
336,842.72
337,211120.85
338,12814.08
339,15392.22
340,11465.05
341,14889.25
342,17517.35
343,11591.63
344,12064.62
345,169.88
346,17507.36
347,14609.45
348,1818.69
349,12644.20
350,18000.33
351,3400.88
352,9922.83
353,11601.62
354,9566.42
355,9746.29
356,13017.26
357,213.18
358,149.89
359,17860.43
360,169.88
361,10812.19
362,159.88
363,129.91
364,149.89
365,5979.02
366,12211.18
367,14209.74
368,17853.77
369,15678.68
370,16035.09
371,11578.30
372,14342.97
373,173.21
374,176.54
375,13800.03
376,5049.69
377,11445.07
378,209.85
379,506.30
380,14392.94
381,14296.34
382,16468.11
383,5722.53
384,11381.78
385,206.52
386,143.23
387,11478.38
388,173.21
389,18989.62
390,6785.10
391,11181.92
392,13387.00
393,1612.17
394,13190.47
395,156.55
396,649.53
397,153.22
398,28785.88
399,15625.38
400,413.04
401,14306.33
402,176.54
403,133.24
404,16894.46
405,15255.65
406,163.22
407,7930.94
408,14849.28
409,13550.21
410,13077.22
411,6521.96
412,542.94
413,173.21
414,223.17
415,21747.63
416,12004.66
417,19928.94
418,2524.84
419,166.55
420,16518.07
421,19462.61
422,183.20
423,8910.23
424,23929.38
425,166.55
426,133.24
427,15102.43
428,19669.13
429,16264.92
430,16611.34
431,13753.40
432,14692.72
433,10262.59
434,16647.98
435,7604.51
436,17327.49
437,7444.62
438,8590.46
439,15935.16
440,209.85
441,15535.45
442,19089.55
443,16684.62
444,179.87
445,249.82
446,5902.40
447,163.22
448,2544.83
449,206.52
450,19835.67
451,6362.07
452,1289.07
453,899.35
454,15432.19
455,5872.43
456,13456.95
457,1205.80
458,173.21
459,17437.41
