unit_id,reg_addr,min,max,mean,iat_min_us,iat_max_us,mean_iat_us,range,slope,ewma_mean,ewma_min,ewma_max,ewma_range,cusum_mean,cusum_min,cusum_max,cusum_range
1,20,2266.0,8133.0,5241.34375,8415.937423706055,207087.99362182617,142005.9665556877,5867.0,1346.0001334130698,4841.143124599519,2266.0,7754.465719778011,5488.465719778011,2815.380151748657,0.0,17870.488647460938,17870.488647460938
1,24,0.0,0.0,0.0,7618.188858032227,207062.0059967041,142002.9286415346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25,0.0,0.0,0.0,7618.188858032227,207062.0059967041,142002.9286415346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22,18000.0,18000.0,18000.0,4292.011260986328,206986.1888885498,142000.9059290732,0.0,-3.688080320540629e-12,18000.0,18000.0,18000.0,0.0,0.0,0.0,0.0,0.0
1,14,1.0,1.0,1.0,3010.0345611572266,208519.93560791016,142003.80540663196,0.0,-3.5151817634319465e-17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,14,1.0,1.0,1.0,4853.963851928711,203258.99124145508,141781.80694580078,0.0,-1.8827757310263805e-16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,20,8400.0,14533.0,11374.5625,359.0583801269531,215006.82830810547,142310.4193902785,6133.0,1325.92044562403,10973.104916939832,8400.0,13905.703996253704,5505.703996253704,2756.873804092407,0.0,17674.394897460938,17674.394897460938
1,24,0.0,0.0,0.0,296.1158752441406,215013.0271911621,142306.38934719947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25,0.0,0.0,0.0,296.1158752441406,215013.0271911621,142306.38934719947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22,18000.0,18000.0,18000.0,193.11904907226562,215095.04318237305,142216.5516884096,0.0,3.1681663287865817e-13,18000.0,18000.0,18000.0,0.0,0.0,0.0,0.0,0.0
1,14,0.0,1.0,0.65625,5908.966064453125,204743.1468963623,144936.77693028603,1.0,-0.2949915226590554,0.7277248659165625,0.019773267429999988,1.0,0.98022673257,1.8165106896776706,0.0,4.5002056658267975,4.5002056658267975
1,20,0.0,18533.0,12491.40625,8402.109146118164,214797.0199584961,145412.2527953117,18533.0,-3537.5899201728535,13474.113825054206,1055.8675421136948,18315.767397932646,17259.899855818952,17615.65486907959,0.0,55920.524169921875,55920.524169921875
1,22,18000.0,18000.0,18000.0,5641.22200012207,212399.00588989258,145411.74519446588,0.0,-2.854064998193047e-12,18000.0,18000.0,18000.0,0.0,0.0,0.0,0.0,0.0
1,24,0.0,2.0,0.46875,6655.93147277832,213802.09922790527,145411.19144808862,2.0,0.44987108630234524,0.353198668125,0.0,1.8352913999999996,1.8352913999999996,1.4583717565983534,0.0,9.592865824699402,9.592865824699402
1,25,-31608.0,28928.0,-22.5,6655.93147277832,213802.09922790527,145411.19144808862,60536.0,435.6803518167935,-457.7277307349998,-16091.419199999998,8986.339214399999,25077.7584144,6359.291458129883,0.0,64049.197998046875,64049.197998046875
1,0,10000.0,10000.0,10000.0,486669.06356811523,512663.8412475586,500219.7680934783,0.0,2.2328545441117255e-13,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
1,2,30000.0,30000.0,30000.0,486593.00804138184,512667.8943634033,500218.7144371771,0.0,-5.911547166558518e-13,30000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0
1,4,1.0,65233.0,58107.71875,487358.09326171875,511363.9831542969,500218.29143647227,65232.0,-1062.2342887058524,60140.35558998489,31589.83762306422,64468.01555727393,32878.177934209714,3496.659423828125,0.0,21716.7626953125,21716.7626953125
1,6,30000.0,30000.0,30000.0,487064.8384094238,511329.88929748535,500217.45312598447,0.0,-7.000879615415744e-13,30000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0
1,8,1.0,1.0,1.0,486377.0008087158,511333.9424133301,500216.7763248567,0.0,-3.75290737064912e-17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,9,4464.0,4464.0,4464.0,486377.0008087158,511333.9424133301,500216.7763248567,0.0,-1.6367329271205187e-13,4464.0,4464.0,4464.0,0.0,0.0,0.0,0.0,0.0
1,10,0.0,10000.0,7500.0,486353.87420654297,511332.9887390137,500216.0610691194,10000.0,-703.930746360749,8187.131659375,576.4800999999998,10000.0,9423.5199,13672.854995727539,0.0,32601.77001953125,32601.77001953125
1,12,30000.0,30000.0,30000.0,486335.03913879395,511331.08139038086,500215.3842679916,0.0,-5.728783401492399e-13,30000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0
1,16,0.0,10000.0,2187.5,486276.14974975586,511711.12060546875,500224.19037357456,10000.0,641.5718643205703,1518.3833437499998,0.0,9176.456999999999,9176.456999999999,5931.627990722656,0.0,47453.02392578125,47453.02392578125
1,18,30000.0,30000.0,30000.0,486256.83784484863,511710.16693115234,500224.5441559822,0.0,-1.9114068036183748e-12,30000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0
1,14,0.0,1.0,0.375,2892.017364501953,203879.83322143555,144938.32280558924,1.0,0.3067328933453989,0.3030925938584062,0.0,0.9861587127989999,0.9861587127989999,1.228425088338554,0.0,6.047631204128265,6.047631204128265
1,20,0.0,2133.0,403.96875,3351.926803588867,219878.9119720459,144557.09918852776,2133.0,399.24205936837933,280.60643457129646,0.0,1691.8260401650768,1691.8260401650768,763.4598922729492,0.0,7176.93701171875,7176.93701171875
